,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
3563,04-12-19,Leicester,Watford,C Pawson,0.727,0.273,0.633,0.367,0.458,0.558,0.6,0.5,0.016,0.004,0.025,0.038,0.017,0.005,0.011,0,0.016,0.013
2739,16-10-17,Leicester,West Brom,M Dean,0.63,0.38,0.51,0.49,0.563,0.625,0.45,0.55,0.01,0.005,0.03,0.017,0.011,0.003,0.013,0,0.013,0.015
3655,22-01-20,Leicester,West Ham,D Coote,0.623,0.377,0.696,0.304,0.448,0.683,0.6,0.55,0.019,0.007,0.017,0.04,0.015,0.017,0.005,0,0.005,0.006
3427,11-08-19,Leicester,Wolves,A Marriner,0.525,0.475,1,0,0.531,0.875,0.6,0.7,0.004,0.011,0.008,0.043,0.039,0.01,0,0,0,0.018
3446,24-08-19,Liverpool,Arsenal,A Taylor,0.542,0.458,0.949,0.051,0.333,0.725,0.95,0.8,0.018,0.015,0.02,0.016,0.019,0.013,0.007,0,0.007,0.008
1961,9/26/2015,Liverpool,Aston Villa,J Moss,0.41,0.59,0.49,0.51,0.219,0.567,0.75,0.2,0.039,0.018,0.018,0.037,0.031,0.003,0.006,0,0,0
3295,09-02-19,Liverpool,Bournemouth,A Taylor,0.745,0.255,0.211,0.789,0.604,0.258,0.85,0.45,0.021,0.006,0.023,0.012,0.016,0.01,0.005,0,0.009,0.011
3553,30-11-19,Liverpool,Brighton,M Atkinson,0.569,0.431,0.703,0.297,0.365,0.725,0.95,0.2,0.02,0.02,0.006,0.025,0.01,0.013,0.006,0,0,0
3338,10-03-19,Liverpool,Burnley,A Marriner,0.586,0.414,0.448,0.552,0.698,0.567,0.85,0.7,0.011,0.006,0.006,0.013,0.013,0.006,0.008,0,0.009,0
3133,27-10-18,Liverpool,Cardiff,S Attwell,0.8,0.2,0.2,0.8,0.531,0.333,0.85,0,0.022,0.004,0.013,0.011,0.022,0,0.019,0,0,0
3373,14-04-19,Liverpool,Chelsea,M Oliver,0.648,0.352,0.367,0.633,0.688,0.358,0.85,0.8,0.014,0.009,0.007,0.016,0.016,0.004,0,0,0,0.005
3262,19-01-19,Liverpool,Crystal Palace,J Moss,0.539,0.461,0.329,0.671,0.302,0.383,0.85,0.5,0.022,0.01,0.01,0.017,0.017,0.006,0,0,0,0.006
3567,04-12-19,Liverpool,Everton,M Dean,0.584,0.416,0.681,0.319,0.375,0.742,0.95,0.65,0.014,0.015,0.025,0.041,0.012,0.014,0.011,0,0.005,0.013
3158,11-11-18,Liverpool,Fulham,P Tierney,0.58,0.42,0.36,0.64,0.344,0.317,0.85,0,0.021,0.012,0.023,0.023,0.016,0.008,0.011,0,0.006,0.007
3390,26-04-19,Liverpool,Huddersfield,K Friend,0.602,0.398,0.358,0.642,0.51,0.408,0.85,0.25,0.014,0.003,0.007,0.024,0.007,0.007,0,0,0,0
2332,9/24/2016,Liverpool,Hull,A Marriner,0.53,0.47,0.56,0.44,0.302,0.625,0.65,0,0.043,0.005,0.02,0.024,0.041,0.006,0,0,0.007,0.016
3492,05-10-19,Liverpool,Leicester,C Kavanagh,0.569,0.431,0.867,0.133,0.25,0.708,0.95,0.6,0.026,0.005,0.02,0.048,0.011,0.017,0.013,0,0.006,0.03
